id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
p24941_kcx,,3.42302844880856,1.0,,0.6894857
p24941_lq5,,3.5832341404053345,1.0,,0.6603436
p24941_wg8,,3.5454772564804475,1.0,,0.7248396
p25103_gaw,,4.904818016455407,1.0,,0.58310145
p25103_gbk,,4.697660693195225,1.0,,0.6100672
p25103_l76,,4.40047990538908,1.0,,0.5572118
p27694_1ej,,0.6426468015472054,1.0,,0.6256962
p28482_hrz,,3.9648466691829554,0.0,,0.80333215
p28482_nep,5.267463684082031,3.7898900520375634,1.0,0.2529761791229248,0.688426
p31021_gsp,0.6683334112167358,3.571999175454227,0.0,0.9373040795326233,0.7588713
p31749_0r4,,2.676738886788744,1.0,,0.53570455
p31749_g4n,,2.718580714757636,1.0,,0.49248672
p31749_iqo,,2.952093899178622,1.0,,0.5426081
p35439_ac5,,0.42793294691647904,0.0,,0.73835355
p35439_dk1,,2.324404340245978,0.0,,0.6615805
p35439_kfq,,2.4073865135585244,0.0,,0.68473953
p35557_aji,,1.8272953146337227,1.0,,0.6160465
p35557_g2t,,3.1598974562088675,0.0,,0.579764
p35557_mrk,,1.8861629097321158,1.0,,0.65310496
p35557_s41,,1.8319153987839096,1.0,,0.66916835
p37231_eb6,,5.18394007239215,0.0,,0.6047811
p37231_gw4,,3.5219303009146987,0.0,,0.5913729
p37231_imn,,4.951679279125779,0.0,,0.6476771
p37231_j3f,,3.838627006441918,0.0,,0.65545815
p37231_mc5,,0.24422641406529633,0.966417543734385,,0.68012923
p37231_sp3,,0.18783070831425636,0.964789463246073,,0.6798411
p37231_tjc,,5.1776776561059465,0.0,,0.6555823
p38340_sah,,0.23417643467785584,1.0,,0.7379673
p42568_7iy,,1.0548390060886281,0.0,,0.6664632
p43220_uk4,,3.798185170238413,1.0,,0.42745528
p45983_aq2,,2.6149125153641437,1.0,,0.6911548
p45983_cfk,,2.57355986028563,1.0,,0.7048868
p45983_gs7,,2.589742070103024,1.0,,0.6626103
p47811_7zc,,1.4223889514866395,1.0,,0.67399335
p47811_snv,,1.0101941840031796,1.0,,0.71721125
p47811_sqp,,1.1867592501355448,1.0,,0.6707533
p48061_3gg,,0.49039016276337416,0.984512634541117,,0.56192034
p51449_4f1,,0.7136432258291896,1.0,,0.6964927
p51449_4y5,,0.7471575742825879,1.0,,0.68435884
p51449_4y6,,0.7052576502157785,1.0,,0.7251211
p51449_79u,,0.6962936791879869,1.0,,0.6392719
p51449_fjg,,0.636155722464797,1.0,,0.6610081
p53355_47x,,0.5088218291312437,1.0,,0.6989431
p53355_kmp,,0.5649622769816476,1.0,,0.6993917
p53355_lu2,,0.5928458346777933,1.0,,0.71961683
p53667_9db,,2.7291490441015087,1.0,,0.6582691
p53667_lh0,,2.8327750826184515,1.0,,0.6881096
p53779_46c,34.138545989990234,2.7739240257796935,1.0,0.0,0.58436286
p53779_9hp,,2.4134504811580966,1.0,,0.67935425
p53779_c0m,,2.8713258811704288,1.0,,0.6330064
p60568_mhc,,2.071033806542669,1.0,,0.4165432
p60568_mpe,7.310495853424072,3.763409549512324,1.0,0.20529574155807495,0.41541234
p60842_sau,,3.3653760204708556,1.0,,0.48805344
p61586_8zo,,3.0122572107385452,1.0,,0.6172228
p62136_bkm,,0.8036719256422359,0.0,,0.509431
p62330_gsp,1.001455307006836,3.4554011242364786,0.0,0.8761261105537415,0.71672493
p62593_4ou,,0.41526804011371,1.0,,0.71284336
p62593_cbt,,0.3121003367076541,1.0,,0.69858426
p62593_fos,1.2636138200759888,0.47200958911858476,1.0,0.7449888586997986,0.7708784
p63086_38z,,2.0517892011537295,1.0,,0.5990284
p63086_dx4,,2.5834852928325605,1.0,,0.7945658
p63086_g17,,2.6309432217121356,1.0,,0.6687715
p63086_sb4,0.9246130585670471,2.313479881273213,1.0,0.651494562625885,0.6840888
p63279_5vl,0.25969642400741577,0.16458049460581622,1.0,0.9849397540092468,0.6728962
p68400_0y4,,0.4689778654776193,1.0,,0.71256435
p68400_7fc,,2.580929365626529,1.0,,0.7522775
p68400_hbd,,0.4623406347151579,1.0,,0.7413509
p97784_6i3,,1.6548257639726323,0.0,,0.6220998
p97784_goc,,1.5985169473964653,0.0,,0.63983744
p97784_gof,,1.6178241616596805,0.0,,0.6525805
q04771_lu8,,9.270437148862664,0.0,,0.7463768
q04771_q5z,,4.7076940948152535,0.0,,0.74037254
q04771_t5y,,3.1893257680908755,0.0,,0.7748052
q04771_xej,,3.3403782158787885,0.0,,0.7451771
q04771_xk4,,3.457074314454695,0.0,,0.72010684
q06124_5od,,3.5732162131962886,0.0,,0.76394093
q06124_dyv,,4.0660481993279545,0.0,,0.6937661
q06124_dzs,,4.052681588720617,0.0,,0.7112909
q07869_az2,,6.213449069907908,1.0,,0.6995019
q07869_gw9,,2.1527324398330374,0.0,,0.69050217
q07869_ity,,2.1349071199988323,1.0,,0.6774498
q07869_rew,,5.5945876548191515,1.0,,0.7069969
q07869_s44,,7.8762357605685445,1.0,,0.6799816
q07889_aww,,4.476321158360069,1.0,,0.6903673
q07889_axh,,4.441332355348121,1.0,,0.6932585
q07889_nl0,,7.261591042985557,1.0,,0.6544344
q13451_i63,,0.7923538698716862,0.0,,0.61295515
q13526_kdh,,7.371910257352509,1.0,,0.6758648
q15109_ior,,0.31328303013807146,1.0,,0.57768464
q16539_19b,,2.4723316955019454,1.0,,0.67862815
q16539_3nw,,2.5321093941752926,1.0,,0.73270994
q16539_gk1,,2.4961014309970913,1.0,,0.67891484
q16539_gk6,,2.4264224024810597,1.0,,0.68172854
q16539_p38,,3.125191668226422,1.0,,0.67236155
q16539_pqb,,2.5084019646853397,1.0,,0.7429571
q16552_u5i,,3.574526574367964,0.0,,0.58568954
q16552_u6c,,3.6581806602362543,0.0,,0.66377354
q3tdn0_av0,,1.9731116139711746,1.0,,0.5212595
q46220_nai,1.410946011543274,0.4292528767363017,0.0,0.8125643730163574,0.6070697
q46220_ndp,1.459096074104309,0.46749688147239266,1.0,0.7777777910232544,0.5842471
